,날짜,등락률,코로나 일일확진자(명),코로나전일대비(명),환율(원),환율전일대비(원),"유가,WTI(달러)",유가전일대비(달러),"미국,S&P 500",미국 등락률(%)
0,2020-11-23,2.5340681637465403,271.0,-59.0,1112.0,-5.0,43.06,0.9100000000000036,3557.54,-0.68
1,2020-11-24,0.6059601232243672,349.0,78.0,1110.0,-2.0,44.91,1.8499999999999943,3577.59,0.56
2,2020-11-25,-0.09409438144905251,382.0,33.0,1107.0,-3.0,45.71,0.8000000000000043,3635.41,1.62
3,2020-11-27,-0.6416420019015682,555.0,-26.0,1105.0,-2.5,45.53,-0.1799999999999997,3629.65,-0.16
4,2020-11-30,-2.1260376766854923,438.0,-12.0,1107.5,2.5,45.34,-0.1899999999999977,3638.35,0.24
5,2020-12-01,4.543571444353615,451.0,13.0,1108.5,1.0,44.55,-0.7900000000000063,3621.63,-0.46
6,2020-12-02,1.4255408522071324,511.0,60.0,1103.0,-5.5,45.28,0.730000000000004,3662.45,1.13
7,2020-12-03,0.49593794524365725,540.0,29.0,1094.0,-9.0,45.64,0.3599999999999994,3669.01,0.18
8,2020-12-04,4.226290293735727,628.0,88.0,1086.0,-8.0,46.26,0.6199999999999974,3666.72,-0.06
9,2020-12-07,0.7505054348231497,615.0,-16.0,1086.5,0.5,45.76,-0.5,3699.12,0.88
10,2020-12-08,-1.57843943062641,587.0,-28.0,1085.5,-1.0,45.6,-0.1599999999999966,3691.96,-0.19
11,2020-12-09,2.987822004654519,670.0,83.0,1085.0,-0.5,45.52,-0.0799999999999983,3702.25,0.28
12,2020-12-10,0.030194854212420356,680.0,10.0,1088.5,3.5,46.78,1.259999999999998,3672.82,-0.79
13,2020-12-11,1.8405998198593096,689.0,9.0,1092.0,3.5,46.57,-0.2100000000000008,3668.1,-0.13
14,2020-12-14,-1.0534216483288106,718.0,-312.0,1092.5,0.5,46.99,0.4200000000000017,3663.46,-0.13
15,2020-12-15,-1.6799373828343813,880.0,162.0,1094.5,2.0,47.62,0.6299999999999955,3647.49,-0.44
16,2020-12-16,0.9331924617312468,1078.0,198.0,1091.0,-3.5,47.82,0.2000000000000028,3694.62,1.29
17,2020-12-17,-0.6818602296074914,1014.0,-64.0,1094.0,3.0,48.36,0.5399999999999991,3701.17,0.18
18,2020-12-18,0.2879993725290267,1064.0,50.0,1099.5,5.5,49.1,0.740000000000002,3722.48,0.58
19,2020-12-21,1.6939500735650037,924.0,-172.0,1109.0,9.5,47.74,-1.3599999999999994,3709.41,-0.35
20,2020-12-22,-2.7284765665368123,866.0,-58.0,1106.5,-2.5,47.02,-0.7199999999999989,3694.92,-0.39
21,2020-12-23,0.2935217670603377,1090.0,224.0,1107.5,1.0,48.12,1.0999999999999943,3687.26,-0.21
22,2020-12-24,0.7397863660550577,985.0,-105.0,1103.5,-4.0,48.23,0.1099999999999994,3690.01,0.07
23,2020-12-28,0.4949490256302466,806.0,-164.0,1096.5,-7.0,47.62,-0.6099999999999994,3703.06,0.35
