¿œ,¿Ø¡æ,WTI
2020-11-20,,42.15
2020-11-23,,43.06
2020-11-24,,44.91
2020-11-25,,45.71
2020-11-27,,45.53
2020-11-30,,45.34
2020-12-01,,44.55
2020-12-02,,45.28
2020-12-03,,45.64
2020-12-04,,46.26
2020-12-07,,45.76
2020-12-08,,45.6
2020-12-09,,45.52
2020-12-10,,46.78
2020-12-11,,46.57
2020-12-14,,46.99
2020-12-15,,47.62
2020-12-16,,47.82
2020-12-17,,48.36
2020-12-18,,49.1
2020-12-21,,47.74
2020-12-22,,47.02
2020-12-23,,48.12
2020-12-24,,48.23
2020-12-28,,47.62
2020-12-29,,48
2020-12-30,,48.4
2020-12-31,,48.52
2021-01-04,,47.62
2021-01-05,,49.93
2021-01-06,,50.63
2021-01-07,,50.83
2021-01-08,,52.24
2021-01-11,,52.25
2021-01-12,,53.21
2021-01-13,,52.91
2021-01-14,,53.57
2021-01-15,,52.36
2021-01-19,,52.98
2021-01-20,,53.24
2021-01-21,,53.13
2021-01-22,,52.27
2021-01-25,,52.77
2021-01-26,,52.61
2021-01-27,,52.85
2021-01-28,,52.34
2021-01-29,,52.2
2021-02-01,,53.55
2021-02-02,,54.76
2021-02-03,,55.69
2021-02-04,,56.23
2021-02-05,,56.85
2021-02-08,,57.97
2021-02-09,,58.36
2021-02-10,,58.68
2021-02-11,,58.24
2021-02-12,,59.47
2021-02-16,,60.05
2021-02-17,,61.14
2021-02-18,,60.52
2021-02-19,,59.24
2021-02-22,,61.49
2021-02-23,,61.67
2021-02-24,,63.22
2021-02-25,,63.53
2021-02-26,,61.5
2021-03-01,,60.64
2021-03-02,,59.75
2021-03-03,,61.28
2021-03-04,,63.83
2021-03-05,,66.09
2021-03-08,,65.05
2021-03-09,,64.01
2021-03-10,,64.44
2021-03-11,,66.02
2021-03-12,,65.61
2021-03-15,,65.39
2021-03-16,,64.8
2021-03-17,,64.6
2021-03-18,,60
2021-03-19,,61.42
2021-03-22,,61.55
2021-03-23,,57.76
2021-03-24,,61.18
2021-03-25,,58.56
2021-03-26,,60.97
2021-03-29,,61.56
